tools,source,ForkCount
ayong8/FairSight,Academic,3
KenSciResearch/fairMLHealth,Organization,15
INSPIRED-GMU/fairkit-learn,Academic,0
equialgo/fairness-in-ml,Individual,48
AI-secure/DecodingTrust,Academic,55
oracle/guardian-ai,Organization,9
AI4LIFE-GROUP/OpenXAI,Academic,39
cakiki/ml-fairness-validity,Academic,1
google/ml-fairness-gym,Organization,80
JohnSnowLabs/langtest,Organization,39
kozodoi/fairness,Individual,7
EthicalML/xai,Organization,173
"microsoft/responsible-ai-
toolbox",Organization,361
ashryaagr/Fairness.jl,academic,14
ModelOriented/fairmodels,Academic,15
ResponsiblyAI/responsibly,Individual,21
vanderschaarlab/synthcity,academic,61
thu-coai/cotk,academic,26
wearepal/EthicML,academic,3
Giskard-AI / giskard,Organization,263
dccuchile / wefe,academic,14
microsoft / SafeNLP,Organization,7
firmai / ml-fairness-framework,academic,16
aws / amazon-sagemaker-clarify,Organization,40
IBM / inFairness,Organization,7
pliang279/sent_debias,academic,19
deel-ai/influenciae,academic,3
credo-ai / credoai_lens,Organization,8
matloff/EDFfair,academic,2
FairRankTune,Individual,0
fairpan,academic,3
microsoft / responsible-ai-toolbox-genbit,Organization,7
ClearExplanationsAI/CLEAR,academic,6
dbountouridis/siren,Individual,8
mlr-org/mcboost,Organization,4
cylynx / verifyml,Organization,3
oracle-samples / automlx,Organization,3
adebayoj/fairml,Individual,74
columbia/fairtest,academic,17
FAIR4HEP/FAIR4HEP-Toolkit,Individual,0
barcoopensource / vivaldy-ai-analysis-dashboard,Organization,0
Teddyzander/FairR,academic,0
hannanabdul55/seldonian-fairness,academic,2
aida-ugent/fairret,academic,1
Telefonica/XAIoGraphs,Organization,1
kamyabnazari/fair-energy-ai,Individual,0
sethneel/GerryFair,Academic,1
umang-garg21/Fair-MisGAIN,Academic,0
martinetoering/Embetter,Individual,0
brandeis-machine-learning/FairPy,academic,0
dssg/aequitas,Organization,113
cosmicBboy/themis-ml,Individual,26
Trusted-AI/AIF360,Organization,838
drivendataorg/deon,Organization,52
fairlearn/fairlearn,Organization,418
fat-forensics/fat-forensics,Individual,16
meelgroup/justicia,Academic,3
linkedin/LiFT,Organization,21
pymetrics/audit-ai,Organization,46
Tizpaz/Parfait-ML,Organization,4
PAIR-code/what-if-tool,Organization,170

