Repository,Longevity,Last commit since,Status
ayong8/FairSight,2,4.0,Inactive
KenSciResearch/fairMLHealth,2,2.0,Inactive
INSPIRED-GMU/fairkit-learn,3,2.0,Inactive
equialgo/fairness-in-ml,3,3.0,Inactive
AI-secure/DecodingTrust,1,0.167,Active
oracle/guardian-ai,1,0.33,Active
AI4LIFE-GROUP/OpenXAI,2,0.67,Active
cakiki/ml-fairness-validity,1,4.0,Inactive
google/ml-fairness-gym,3,2.0,Inactive
JohnSnowLabs/langtest,7,0.167,Active
EthicalML/xai,3,3.0,Inactive
microsoft/responsible-ai-toolbox,3,0.25,Active
ashryaagr/Fairness.jl,1,3.0,Inactive
ModelOriented/fairmodels,2,2.0,Inactive
ResponsiblyAI/responsibly,3,3.0,Inactive
vanderschaarlab/synthcity,2,0.167,Active
thu-coai/cotk,2,4.0,Inactive
wearepal/EthicML,4,0.25,Archived
dccuchile/wefe,3,1.0,Inactive
microsoft/SafeNLP,2,1.0,Inactive
firmai/ml-fairness-framework,1,3.0,Inactive
aws/amazon-sagemaker-clarify,3,1.0,Inactive
IBM/inFairness,1,1.0,Inactive
pliang279/sent_debias,1,3.0,Inactive
deel-ai/influenciae,3,0.58,Active
credo-ai/credoai_lens,3,0.41,Archived
matloff/EDFfair,2,1.0,Inactive
KCachel/fairranktune,1,0.58,Active
ModelOriented/FairPAN,1,3.0,Inactive
microsoft/responsible-ai-toolbox-genbit,1,2.0,Inactive
ClearExplanationsAI/CLEAR,2,3.0,Inactive
dbountouridis/siren,1,6.0,Inactive
mlr-org/mcboost,4,0.167,Active
cylynx/verifyml,1,2.0,Inactive
oracle-samples/automlx,1,0.083,Active
adebayoj/fairml,1,7.0,Inactive
columbia/fairtest,4,3.0,Inactive
FAIR4HEP/FAIR4HEP-Toolkit,2,2.0,Inactive
barcoopensource/vivaldy-ai-analysis-dashboard,1,1.0,Inactive
Teddyzander/FairR,1,2.0,Inactive
hannanabdul55/seldonian-fairness,1,3.0,Inactive
aida-ugent/fairret,1,0.25,Active
Telefonica/XAIoGraphs,1,0.083,Active
kamyabnazari/fair-energy-ai,1,0.75,Active
umang-garg21/Fair-MisGAIN,5,1.0,Inactive
sethneel/GerryFair,2,5.0,Inactive
martinetoering/Embetter,1,4.0,Inactive
dssg/aequitas,6,0.167,Active
cosmicBboy/themis-ml,1,6.0,Archived
Trusted-AI/AIF360,6,0.33,Active
drivendataorg/deon,6,0.33,Active
fairlearn/fairlearn,5,0.083,Active
fat-forensics/fat-forensics,5,1.0,Inactive
meelgroup/justicia,2,2.0,Inactive
linkedin/LiFT,3,3.0,Inactive
pymetrics/audit-ai,2,4.0,Inactive
Tizpaz/Parfait-ML,2,0.58,Active
PAIR-code/what-if-tool,6,0.83,Active
tensorflow/fairness-indicators,5,0.083,Active
