Repository,Average Resolve Time
kozodoi/fairness,9 days 17:00:18
EthicalML/xai,215 days 21:30:10.153846
Giskard-AI/giskard,36 days 04:11:36.738911
dccuchile/wefe,44 days 23:39:41.339623
microsoft/SafeNLP,170 days 01:15:48.200000
aws/amazon-sagemaker-clarify,6 days 07:57:48.946970
IBM/inFairness,21 days 21:48:09
pliang279/sent_debias,2 days 17:22:47.666667
credo-ai/credoai_lens,12 days 01:27:11.194690
matloff/EDFfair,2 days 04:24:41
kcachel/fairranktune,0 days 00:00:00
ModelOriented/FairPAN,0 days 00:00:00
microsoft/responsible-ai-toolbox-genbit,11 days 17:53:06.375000
ClearExplanationsAI/CLEAR,0 days 00:00:13
dbountouridis/siren,0 days 00:00:00
mlr-org/mcboost,18 days 23:33:36.275000
cylynx/verifyml,0 days 21:21:31.721311
oracle-samples/automlx,0 days 10:29:22.625000
adebayoj/fairml,0 days 23:16:27
columbia/fairtest,0 days 00:00:00
FAIR4HEP/FAIR4HEP-Toolkit,0 days 00:00:57
barcoopensource/vivaldy-ai-analysis-dashboard,0 days 00:00:00
Teddyzander/FairR,0 days 00:02:33.882353
hannanabdul55/seldonian-fairness,0 days 01:56:05
aida-ugent/fairret,151 days 01:31:23
Telefonica/XAIoGraphs,13 days 12:56:51.829268
kamyabnazari/fair-energy-ai,0 days 00:00:00
umang-garg21/Fair-MisGAIN,0 days 00:00:00
martinetoering/Embetter,0 days 00:00:00
brandeis-machine-learning/FairPy,0 days 00:00:00
pymetrics/audit-ai,11 days 12:30:51.172414
