tools,source,WatcherCount
ayong8/FairSight,Academic,3
KenSciResearch/fairMLHealth,Organization,12
INSPIRED-GMU/fairkit-learn,Academic,3
equialgo/fairness-in-ml,Individual,9
AI-secure/DecodingTrust,Academic,6
oracle/guardian-ai,Organization,9
AI4LIFE-GROUP/OpenXAI,Academic,8
cakiki/ml-fairness-validity,Academic,4
google/ml-fairness-gym,Organization,17
JohnSnowLabs/langtest,Organization,10
kozodoi/fairness,Individual,3
EthicalML/xai,Organization,43
"microsoft/responsible-ai-
toolbox",Organization,31
ashryaagr/Fairness.jl,academic,7
ModelOriented/fairmodels,Academic,7
ResponsiblyAI/responsibly,Individual,6
vanderschaarlab/synthcity,academic,13
thu-coai/cotk,academic,7
wearepal/EthicML,academic,4
Giskard-AI / giskard,Organization,33
dccuchile / wefe,academic,6
microsoft / SafeNLP,Organization,6
firmai / ml-fairness-framework,academic,5
aws / amazon-sagemaker-clarify,Organization,20
IBM / inFairness,Organization,7
pliang279/sent_debias,academic,3
deel-ai/influenciae,academic,3
credo-ai / credoai_lens,Organization,7
matloff/EDFfair,academic,3
FairRankTune,Individual,1
fairpan,academic,7
microsoft / responsible-ai-toolbox-genbit,Organization,11
ClearExplanationsAI/CLEAR,academic,1
dbountouridis/siren,Individual,2
mlr-org/mcboost,Organization,5
cylynx / verifyml,Organization,1
oracle-samples / automlx,Organization,8
adebayoj/fairml,Individual,19
columbia/fairtest,academic,20
FAIR4HEP/FAIR4HEP-Toolkit,Individual,2
barcoopensource / vivaldy-ai-analysis-dashboard,Organization,1
Teddyzander/FairR,academic,1
hannanabdul55/seldonian-fairness,academic,2
aida-ugent/fairret,academic,3
Telefonica/XAIoGraphs,Organization,8
kamyabnazari/fair-energy-ai,Individual,1
sethneel/GerryFair,Academic,9
umang-garg21/Fair-MisGAIN,Academic,0
martinetoering/Embetter,Individual,0
brandeis-machine-learning/FairPy,academic,1
dssg/aequitas,Organization,43
cosmicBboy/themis-ml,Individual,12
Trusted-AI/AIF360,Organization,91
drivendataorg/deon,Organization,16
fairlearn/fairlearn,Organization,39
fat-forensics/fat-forensics,Individual,6
meelgroup/justicia,Academic,3
linkedin/LiFT,Organization,15
pymetrics/audit-ai,Organization,29
Tizpaz/Parfait-ML,Organization,1
PAIR-code/what-if-tool,Organization,29
